id,code,display_name,desctiption
1,"STN","London, Stanstad",""
2,"PMI","Palma de Mallorca",""
3,"ACE","Lanzarote","Lanzarote, Canary Islands"
4,"AGP","Malaga","Costa del Sol"
5,"AHO","Alghero","Sardegna"
6,"ALC","Alicante","Madrid"
7,"BCN","Barcelona","Costa Brava - in case of 7,14 days"
8,"BGY","Bergamo",""
9,"BHX","Birmingham","Birmingham"
10,"BLQ","Bologna",""
11,"NCL","Newcastle",""
12,"LTN","London, Luton","London"
13,"IBZ","Ibiza","Balearics"
14,"CIA","Rome-Ciampiano","Rome"
15,"FCO","Rome-Fiumicino","Rome"
16,"GRO","Girona","Costa Brava"
17,"LPA","Gran Canaria","Gran Canaria, Canary Islands"
18,"TFS","Tenerife-Sur","Tenerife, Canary Islands"
19,"TFN","Tenerife-Norte","Tenerife, Canary Islands"
20,"FUE","Fuerteventura","Fuerteventura, Canary Islands"
21,"MAD","Madrid","Madrid"
22,"MAH","Menorca","Menorca Island, Balearics"
23,"NYO","Stockholm","Stockholm"
24,"BRU","Brussels","Brussels"
25,"LGW","London-Gatwick","London"
26,"SXF","Berlin-Schönefeld","Berlin"
27,"TXL","Berlin-Tegel","Berlin"
28,"OPO","Porto","Porto"
29,"LHR","London-Heathrow","London"
30,"FAO","Faro","Algarve"
31,"PRG","Prague","Prague"
32,"CTA","Catania","Sicilia"
33,"PMO","Palermo","Sicilia"
34,"TPS","Trapani","Sicilia"
35,"CAG","Cagliari","Sardegna"
36,"OLB","Olbia","Sardegna"
37,"CRL","Charleroi","Brussels"
38,"GLA","Glasgow",""
39,"MAN","Manchester",""
40,"DUB","Dublin",""
41,"VLC","Valencia",""
42,"FHN","Frankfurt-Hahn",""
43,"FRA","Frankfurt-International",""
44,"CGN","Köln-Cologne",""
45,"TSF","Venezia",""
46,"VCE","Venezia",""
47,"MXP","Milano",""
48,"BRI","Bari",""
49,"PSA","Pisa",""
50,"MLA","Malta","Malta"

